Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Rentabilidad 2024,Rentabilidad 2023,Rentabilidad 2022,Rentabilidad 2021,Rentabilidad 2020,Rentabilidad 2019,Rentabilidad 2018,Rentabilidad 2017,Rentabilidad 2016,Rentabilidad 2015,Rentabilidad 2014,Patrimonio S/.,Partícipes N,Años,Categoria,Fund id
Flexible,SCOTIA FONDO CASH S/.,SCOTIA FONDOS,21/06/2001,S/.,20.92,0.0388,-0.0619,-0.0177,-0.0054,0.0358,0.0396,0.0269,0.0438,0.0462,0.0351,0.0348,51208972.98,5254.0,23,Flexible,135
Flexible,SCOTIA FONDO PREMIUM $,SCOTIA FONDOS,07/02/1996,$,20.66,0.0284,0.0339,-0.2472,-0.0048,0.0528,0.0494,0.0037,0.0228,0.017,-0.0066,0.0116,35366604.66,1654.0,28,Flexible,136
Flexible,SCOTIA FONDO PREMIUM S/.,SCOTIA FONDOS,17/04/2007,S/.,12.03,0.0136,-0.0023,-0.3065,-0.0062,0.0589,0.0662,-0.0062,0.0608,0.0418,0.0265,0.0438,11163716.07,1695.0,17,Flexible,137
Flexible,SF Corto Plazo Plus $,SCOTIA FONDOS,12/01/2023,$,10.62,0.0424,0.0057,,,,,,,,,,1001003830.56,2418.0,1,Flexible,138
Flexible,SF Corto Plazo Plus S/,SCOTIA FONDOS,28/02/2024,S/.,10.41,0.0365,,,,,,,,,,,277968379.71,1826.0,0,Flexible,139
Flexible,SF INST DE RENTA $ IX,SCOTIA FONDOS,25/04/2023,$,1160.28,0.0171,0.1371,,,,,,,,,,11353257.84,12.0,1,Flexible,140
Flexible,SF Inst. Renta $ VIII,SCOTIA FONDOS,13/12/2022,$,1120.41,-0.025,0.1926,-0.0398,,,,,,,,,64502376.96,39.0,2,Flexible,141
Flexible,SF INST RENTA S/ 1Y III,SCOTIA FONDOS,21/08/2024,S/.,1012.11,0.0114,,,,,,,,,,,58345258.2,11.0,0,Flexible,142
Flexible,SF INSTI DE RENTA $ X,SCOTIA FONDOS,05/09/2023,$,1147.95,0.0104,0.1307,,,,,,,,,,27269837.36,29.0,1,Flexible,143
Flexible,SF Insti Renta S/ 1Y II,SCOTIA FONDOS,28/05/2024,S/.,1030.12,0.0258,,,,,,,,,,,73504705.63,12.0,0,Flexible,144
Flexible,SF Institucional de Renta $ XI,SCOTIA FONDOS,09/05/2023,$,1057.04,-0.0047,0.0584,,,,,,,,,,27759039.97,37.0,1,Flexible,145
Flexible,SF Institucional Renta $ V,SCOTIA FONDOS,05/04/2022,$,1104.31,-0.0301,0.0841,0.0491,,,,,,,,,126128546.42,93.0,2,Flexible,146
Flexible,SF Institucional Renta $ VI,SCOTIA FONDOS,16/08/2022,$,1135.53,-0.0291,0.1472,0.0168,,,,,,,,,113009295.02,59.0,2,Flexible,147
Flexible,SF Institucional Renta $ VII,SCOTIA FONDOS,07/12/2022,$,1039.47,-0.0226,0.0205,0.0404,,,,,,,,,35506762.94,46.0,2,Flexible,148
Flexible,SF NOTA ESTRUCTURADA IX,SCOTIA FONDOS,26/09/2024,$,96.28,-0.0387,,,,,,,,,,,36484493.52,60.0,0,Flexible,149
Flexible,SF Nota Estructurada VIII,SCOTIA FONDOS,05/10/2024,$,105.98,0.0564,,,,,,,,,,,22641342.29,48.0,0,Flexible,150
Flexible,SF Renta $ 1Y VII,SCOTIA FONDOS,13/12/2023,$,10.56,0.0481,0.0033,,,,,,,,,,257540843.81,479.0,1,Flexible,151
Flexible,SF Renta $ 1Y VIII,SCOTIA FONDOS,04/03/2024,$,10.35,0.0316,,,,,,,,,,,186705873.11,254.0,0,Flexible,152
Flexible,SF Renta $ 6M XXI,SCOTIA FONDOS,08/07/2024,$,10.15,0.0121,,,,,,,,,,,356668177.17,720.0,0,Flexible,153
Flexible,SF RENTA $ 6M XXII,SCOTIA FONDOS,10/09/2024,$,10.05,0.0032,,,,,,,,,,,155940734.85,400.0,0,Flexible,154
Flexible,SF RENTA SOLES 6M V,SCOTIA FONDOS,19/06/2024,S/.,10.28,-0.8976,,,,,,,,,,,306430514.65,799.0,0,Flexible,155
Flexible,SFNotaEstructurada IV-F. Insti,SCOTIA FONDOS,01/04/2022,$,100.81,0.1132,0.0312,-0.1222,,,,,,,,,35396424.32,54.0,2,Flexible,156
Fondo de Fondos,BLUM USA 500 FDF,BLUM SAF,15/10/2024,$,0.0,,,,,,,,,,,,5862217.49,59.0,0,Fondo de Fondos,157
Fondo de Fondos,-BLUM USA 500 FDF SERIE A,BLUM SAF,15/10/2024,$,9.81,-0.0211,,,,,,,,,,,,2.0,0,Fondo de Fondos,158
Fondo de Fondos,-BLUM USA 500 FDF SERIE B,BLUM SAF,15/10/2024,$,9.8,-0.0214,,,,,,,,,,,,58.0,0,Fondo de Fondos,159
Fondo de Fondos,CRED CAP. INVESTMENT GRADE,CREDIFONDO SAF,09/04/2018,$,117.58,0.0427,0.0595,-0.1081,-0.0218,0.0879,0.1227,-0.0046,,,,,166312751.72,919.0,6,Fondo de Fondos,160
Fondo de Fondos,CRED CAP VISION I,CREDIFONDO SAF,02/08/2016,$,120.05,0.0426,0.0579,-0.1388,0.0027,0.0607,0.102,-0.0483,0.0649,0.0624,,,83328323.95,644.0,8,Fondo de Fondos,161
Fondo de Fondos,CRED CAP VISION III,CREDIFONDO SAF,02/10/2016,$,156.93,0.0906,0.1175,-0.1779,0.0824,0.1012,0.1816,-0.1068,0.1531,0.0748,,,35793880.45,698.0,8,Fondo de Fondos,162
Fondo de Fondos,CRED. DEUDA GLOBAL,CREDIFONDO SAF,25/03/2013,$,114.32,0.0378,0.0555,-0.1555,-0.0117,0.0619,0.1042,-0.0454,0.0583,0.0865,-0.0206,0.0221,21553983.23,675.0,11,Fondo de Fondos,163
Fondo de Fondos,CRED. EQUILIBRADO VCS,CREDIFONDO SAF,16/06/2008,S/.,114.01,0.0888,0.0662,-0.2027,-0.0573,0.0291,0.0381,-0.0384,0.1407,0.273,-0.1771,-0.0156,10043652.71,892.0,16,Fondo de Fondos,164
Fondo de Fondos,CREDI. ACC. LATAM-PACIFICO,CREDIFONDO SAF,14/08/2012,$,51.48,-0.1857,0.2669,-0.0187,-0.0882,-0.0586,0.1015,-0.1483,0.1436,0.0593,-0.2855,-0.1583,9350850.61,235.0,12,Fondo de Fondos,165
Fondo de Fondos,CREDICORP ACCIONES ASIA,CREDIFONDO SAF,06/05/2017,$,127.55,0.1072,0.0039,-0.1841,-0.0437,0.2473,0.2103,-0.1548,0.1515,,,,28503783.91,490.0,7,Fondo de Fondos,166
Fondo de Fondos,CREDICORP ACCIONES EEUU,CREDIFONDO SAF,26/05/2017,$,235.9,0.1654,0.3441,-0.3016,0.1873,0.2882,0.2928,-0.0293,0.1122,,,,181260166.21,2177.0,7,Fondo de Fondos,167
Fondo de Fondos,CREDICORP ACCIONES EUROPA,CREDIFONDO SAF,26/05/2017,$,162.12,0.0174,0.2146,-0.2655,0.2902,0.1404,0.364,-0.1207,0.0042,,,,50956886.26,849.0,7,Fondo de Fondos,168
Fondo de Fondos,Credicorp Activos Preferentes,CREDIFONDO SAF,06/06/2018,$,121.59,0.0733,0.0709,-0.1028,0.0127,0.0406,0.147,-0.0309,,,,,79778512.84,504.0,6,Fondo de Fondos,169
Fondo de Fondos,CREDICORP DEUDA FLOTANTE,CREDIFONDO SAF,03/02/2017,$,127.32,0.0501,0.1029,-0.0382,0.0616,0.0066,0.0624,-0.0101,0.0144,,,,67396500.63,818.0,7,Fondo de Fondos,170
Fondo de Fondos,CREDICORP DEUDA HIGH YIELD,CREDIFONDO SAF,03/02/2017,$,128.4,0.0524,0.1006,-0.0862,0.0227,0.0363,0.1245,-0.0235,0.0397,,,,142865029.35,707.0,7,Fondo de Fondos,171
Fondo de Fondos,FdeF BBVA Apreciacion Capital,CONTINENTAL FM,24/01/2014,$,140.52,0.1036,0.1372,-0.094,0.0973,0.0387,0.0863,-0.0415,0.0894,-0.0017,-0.0638,0.0193,34983000.15,308.0,10,Fondo de Fondos,172
Fondo de Fondos,FdeF BBVA Generacion de Flujo,CONTINENTAL FM,03/01/2010,$,99.12,0.0268,0.0563,-0.143,0.0237,0.0309,-0.0078,-0.086,0.1234,0.2272,-0.2186,-0.069,28011895.79,171.0,14,Fondo de Fondos,173
Fondo de Fondos,FdeF BBVA Preservacion Capital,CONTINENTAL FM,23/02/2010,$,106.35,0.0413,0.0452,-0.0085,-0.0039,0.0108,-0.0011,-0.0519,0.0464,0.0972,-0.1198,-0.0425,10296891.56,87.0,14,Fondo de Fondos,174
Fondo de Fondos,FdeF BTG Renta Internacional,BTG PACTUAL PERU SAF,16/10/2020,$,0.0,,,,,,,,,,,,3477147.58,12.0,4,Fondo de Fondos,175
Fondo de Fondos,-FdeF BTG Renta Internacional SERIE A,BTG PACTUAL PERU SAF,16/10/2020,$,111.61,0.0499,0.0823,-0.1451,0.1004,0.0437,,,,,,,,12.0,4,Fondo de Fondos,176
Fondo de Fondos,-FdeF BTG Renta Internacional SERIE B,BTG PACTUAL PERU SAF,16/10/2020,$,110.52,,,,,0.0447,,,,,,,,2.0,4,Fondo de Fondos,177
Fondo de Fondos,FdeF CC Acciones Innovacion,CREDIFONDO SAF,26/04/2021,$,111.6,0.2406,0.3933,-0.3891,0.0591,,,,,,,,60235823.31,612.0,3,Fondo de Fondos,178
Fondo de Fondos,FdeF CRED ACC SECTOR SEGURID,CREDIFONDO SAF,10/02/2018,$,152.14,0.1256,0.1938,-0.3187,0.1894,0.2114,0.2859,-0.11,,,,,35687355.27,467.0,6,Fondo de Fondos,179
Fondo de Fondos,FdeF Cred Renta Estrategica,CREDIFONDO SAF,13/02/2019,$,116.31,0.0407,0.0717,-0.0751,0.0158,0.0535,0.0523,,,,,,466086261.42,1014.0,5,Fondo de Fondos,180
Fondo de Fondos,FdeF IF Global Thematics,INTERFONDO,26/03/2021,$,57.95,0.2088,0.2148,-0.2744,0.0897,,,,,,,,14572192.3,358.0,3,Fondo de Fondos,181
Fondo de Fondos,FdF BBVA CONSERV GLO $,CONTINENTAL FM,06/06/2002,$,172.17,0.0415,0.0514,-0.0589,0.0144,0.0248,0.0584,,,,,,17176045.56,113.0,22,Fondo de Fondos,182
Fondo de Fondos,FdF BBVA Renta Fija Mcdo Emerg,CONTINENTAL FM,02/02/2024,$,107.05,0.0589,,,,,,,,,,,55313019.78,237.0,0,Fondo de Fondos,183
Fondo de Fondos,FdF CC Acciones China,CREDIFONDO SAF,03/01/2021,$,55.55,0.1068,-0.2229,-0.3401,-0.0123,,,,,,,,5220723.93,93.0,3,Fondo de Fondos,184
Fondo de Fondos,FdF CC Duración Objetivo Latam,CREDIFONDO SAF,05/10/2024,$,103.04,0.0269,,,,,,,,,,,197386368.12,455.0,0,Fondo de Fondos,185
Fondo de Fondos,FDF CRED CAP VISION II,CREDIFONDO SAF,02/08/2016,$,143.29,0.072,0.0956,-0.1666,0.0513,0.0902,0.1531,-0.0816,0.111,0.0821,,,144809656.76,1188.0,8,Fondo de Fondos,186
Fondo de Fondos,FdF Cred. Tendencias Globales,CREDIFONDO SAF,19/10/2020,$,102.41,0.1236,0.2915,-0.3575,0.012,0.0879,,,,,,,36861034.71,287.0,4,Fondo de Fondos,187
Fondo de Fondos,FdF Credicorp Deuda Flexible,CREDIFONDO SAF,16/07/2020,$,100.76,0.0236,0.0752,-0.1241,-0.0042,0.0505,,,,,,,60634717.01,174.0,4,Fondo de Fondos,188
Fondo de Fondos,FdF Credicorp Impacto Sostenib,CREDIFONDO SAF,12/06/2021,$,88.98,0.0908,0.078,-0.2242,0.0215,,,,,,,,8268398.75,132.0,3,Fondo de Fondos,189
Fondo de Fondos,FdF ED ACC GLOB OPT,EL DORADO SAF,29/01/2024,$,0.0,,,,,,,,,,,,1283430.95,10.0,0,Fondo de Fondos,190
Fondo de Fondos,-FdF ED ACC GLOB OPT SERIE A,EL DORADO SAF,29/01/2024,$,113.59,,,,,,,,,,,,,1.0,0,Fondo de Fondos,191
Fondo de Fondos,-FdF ED ACC GLOB OPT SERIE B,EL DORADO SAF,29/01/2024,$,113.35,0.1335,,,,,,,,,,,,9.0,0,Fondo de Fondos,192
Fondo de Fondos,FdF El Dorado Instr Deuda EEUU,EL DORADO SAF,06/07/2022,$,0.0,,,,,,,,,,,,6222543.34,16.0,2,Fondo de Fondos,193
Fondo de Fondos,-FdF El Dorado Instr Deuda EEUU SERIE A,EL DORADO SAF,06/07/2022,$,122.41,0.0989,0.0911,0.02,,,,,,,,,,8.0,2,Fondo de Fondos,194
Fondo de Fondos,-FdF El Dorado Instr Deuda EEUU SERIE B,EL DORADO SAF,06/07/2022,$,121.15,0.0962,0.0879,0.0183,,,,,,,,,,7.0,2,Fondo de Fondos,195
Fondo de Fondos,-FdF El Dorado Instr Deuda EEUU SERIE I,EL DORADO SAF,06/07/2022,$,122.78,0.1,0.0924,0.0207,,,,,,,,,,1.0,2,Fondo de Fondos,196
Fondo de Fondos,FdF Faro Deuda Global,FARO CAPITAL SAFI,06/11/2020,$,100.02,0.0222,0.0373,-0.1237,-0.023,,,,,,,,7600938.04,73.0,4,Fondo de Fondos,197
Fondo de Fondos,FdF Faro Global Innovation,FARO CAPITAL SAFI,27/01/2020,$,123.89,0.0504,0.2205,-0.3088,-0.0271,0.4411,,,,,,,4594297.07,92.0,4,Fondo de Fondos,198
Fondo de Fondos,FdF Faro Renta Variable Global,FARO CAPITAL SAFI,06/11/2020,$,151.19,0.1183,0.1617,-0.2128,0.1121,,,,,,,,16267034.54,119.0,4,Fondo de Fondos,199
Fondo de Fondos,FdF IF Enfoque Global,INTERFONDO,18/12/2019,$,50.47,0.0379,0.0385,-0.0901,-0.0069,0.0377,-0.0011,,,,,,15203983.56,247.0,5,Fondo de Fondos,200
Fondo de Fondos,FdF IF Inversión EEUU FMIV,INTERFONDO,12/01/2022,$,67.07,0.1586,0.2165,-0.052,,,,,,,,,14271365.03,486.0,2,Fondo de Fondos,201
Fondo de Fondos,FdF IF RealState Student Accom,INTERFONDO,27/09/2021,$,55.79,0.0303,0.0246,0.0504,0.0053,,,,,,,,342416262.31,895.0,3,Fondo de Fondos,202
Fondo de Fondos,FdF IF XXIII Rend Global 360,INTERFONDO,02/08/2024,$,51.98,0.0374,,,,,,,,,,,39798738.64,222.0,0,Fondo de Fondos,203
Fondo de Fondos,FdF IF XXIV Rend Global 360,INTERFONDO,25/04/2024,$,51.41,0.0256,,,,,,,,,,,102838107.92,413.0,0,Fondo de Fondos,204
Fondo de Fondos,FdF IF XXIX Rend Global 360,INTERFONDO,26/07/2024,$,50.79,0.0125,,,,,,,,,,,74445007.66,397.0,0,Fondo de Fondos,205
Fondo de Fondos,FdF IF XXV Rend Global 360,INTERFONDO,15/03/2024,$,51.57,0.0294,,,,,,,,,,,34491043.13,251.0,0,Fondo de Fondos,206
Fondo de Fondos,FdF IF XXVI Rend Global 360,INTERFONDO,04/01/2024,$,51.52,0.0282,,,,,,,,,,,64655275.79,334.0,0,Fondo de Fondos,207
Fondo de Fondos,FdF IF XXVII Rend Global 321,INTERFONDO,17/05/2024,$,51.24,0.0219,,,,,,,,,,,28799664.48,174.0,0,Fondo de Fondos,208
Fondo de Fondos,FdF IF XXVIII Rend Global 360,INTERFONDO,06/04/2024,$,51.12,0.0195,,,,,,,,,,,81478999.99,399.0,0,Fondo de Fondos,209
Fondo de Fondos,FdF IF 30 Rend Global 332,INTERFONDO,23/08/2024,$,50.59,0.0091,,,,,,,,,,,81655147.16,318.0,0,Fondo de Fondos,210
Fondo de Fondos,FdF IF 31 Rend Global 360,INTERFONDO,21/10/2024,$,50.22,0.0011,,,,,,,,,,,59644847.21,297.0,0,Fondo de Fondos,211
Fondo de Fondos,FDF IND RENTA FIJA FMIV,INDEPENDIENTE SAF,06/11/2024,$,0.0,,,,,,,,,,,,15788447.59,351.0,0,Fondo de Fondos,212
Fondo de Fondos,-FDF IND RENTA FIJA FMIV SERIE A,INDEPENDIENTE SAF,06/11/2024,$,102.88,0.0288,,,,,,,,,,,,344.0,0,Fondo de Fondos,213
Fondo de Fondos,-FDF IND RENTA FIJA FMIV SERIE D,INDEPENDIENTE SAF,06/11/2024,$,102.88,0.0288,,,,,,,,,,,,7.0,0,Fondo de Fondos,214
Fondo de Fondos,FdF Part y Crec Int,BLANCO SAFI S.A.C.,19/04/2023,$,0.0,,,,,,,,,,,,4253663.79,30.0,1,Fondo de Fondos,215
Fondo de Fondos,-FdF Part y Crec Int SERIE A,BLANCO SAFI S.A.C.,19/04/2023,$,1.0,-0.0184,,,,,,,,,,,,19.0,1,Fondo de Fondos,216
Fondo de Fondos,-FdF Part y Crec Int SERIE B,BLANCO SAFI S.A.C.,19/04/2023,$,1.0,-0.0211,,,,,,,,,,,,11.0,1,Fondo de Fondos,217
Fondo de Fondos,FdF Sura Corto Plazo Global,FONDOS SURA SAF,15/11/2022,$,110.12,0.0421,0.047,0.0046,,,,,,,,,73173108.64,357.0,2,Fondo de Fondos,218
Fondo de Fondos,FdF SURA RENTA DOLARES,FONDOS SURA SAF,14/06/2005,$,181.16,0.0298,0.0422,-0.0108,-0.0134,0.0768,0.0777,0.0131,0.0285,0.0318,0.0065,0.0234,76202929.91,623.0,19,Fondo de Fondos,219
Fondo de Fondos,FF BBVA ACC GLOB MILLENIALS,CONTINENTAL FM,16/01/2023,$,132.14,0.2208,0.0813,,,,,,,,,,4537971.43,62.0,1,Fondo de Fondos,220
Fondo de Fondos,FF BBVA ACC TENDENC GLOB,CONTINENTAL FM,15/04/2010,$,120.15,0.0725,0.1328,-0.2334,0.0676,0.0923,0.2226,-0.1158,0.231,0.51,-0.3969,-0.1235,36245008.52,361.0,14,Fondo de Fondos,221
Fondo de Fondos,FF BBVA ACCIONES GLOB RE,CONTINENTAL FM,08/10/2022,$,95.86,0.046,0.0653,-0.1405,,,,,,,,,10793572.42,87.0,2,Fondo de Fondos,222
Fondo de Fondos,FF BBVA DIST EST GLOBAL,CONTINENTAL FM,05/09/2018,$,115.16,0.0385,0.0715,-0.0873,0.0072,0.0703,0.0489,-0.002,,,,,359653592.22,853.0,6,Fondo de Fondos,223
Fondo de Fondos,FF BBVA DIST HIGH YIELD EEUU,CONTINENTAL FM,07/07/2021,$,105.33,0.0548,0.1227,-0.117,0.0074,,,,,,,,49154166.75,208.0,3,Fondo de Fondos,224
Fondo de Fondos,FF BBVA ESTRATE CONSERV S/,CONTINENTAL FM,21/04/1998,S/.,256.33,0.0375,0.0664,-0.0429,0.0097,0.0013,0.0412,-0.0296,0.0757,0.1385,-0.0814,-0.0032,13286675.4,633.0,26,Fondo de Fondos,225
Fondo de Fondos,FF BBVA ESTRATE DINAMICO $,CONTINENTAL FM,10/06/2011,$,63.96,0.0621,0.0888,-0.1119,0.0125,-0.0637,0.0924,-0.1494,0.124,0.0232,-0.1957,-0.1755,2167293.14,125.0,13,Fondo de Fondos,226
Fondo de Fondos,FF BBVA ESTRATE DINAMICO S/,CONTINENTAL FM,16/03/2007,S/.,118.18,0.0618,0.1077,-0.0968,0.1156,-0.0483,0.0043,-0.1375,0.2119,0.4919,-0.3143,-0.0775,18742287.61,1695.0,17,Fondo de Fondos,227
Fondo de Fondos,FF BBVA ESTRATE EQUILIBRA $,CONTINENTAL FM,18/03/2021,$,105.3,0.0505,0.0734,-0.0836,0.0193,,,,,,,,2711607.36,90.0,3,Fondo de Fondos,228
Fondo de Fondos,FF BBVA ESTRATE EQUILIBRA S/,CONTINENTAL FM,19/03/2007,S/.,139.62,0.0461,0.0875,-0.0717,0.045,-0.0087,0.0424,-0.0692,0.1177,0.2597,-0.1628,-0.0215,14958456.95,2235.0,17,Fondo de Fondos,229
Fondo de Fondos,FF CC LATAM INNOVACION,CREDIFONDO SAF,07/03/2023,$,91.45,-0.1556,0.0735,,,,,,,,,,2696305.5,350.0,1,Fondo de Fondos,230
Fondo de Fondos,FF CC RENTA GLOBAL INV GRADE,CREDIFONDO SAF,11/10/2022,$,112.02,0.0362,0.0635,0.0124,,,,,,,,,106530464.0,524.0,2,Fondo de Fondos,231
Fondo de Fondos,FF Creci Inmobiliario EEUU,EL DORADO SAF,01/04/2021,$,0.0,,,,,,,,,,,,97150282.92,235.0,3,Fondo de Fondos,232
Fondo de Fondos,-FF Creci Inmobiliario EEUU SERIE A,EL DORADO SAF,01/04/2021,$,112.33,0.0308,0.023,0.0214,0.0427,,,,,,,,,185.0,3,Fondo de Fondos,233
Fondo de Fondos,-FF Creci Inmobiliario EEUU SERIE B,EL DORADO SAF,01/04/2021,$,112.35,0.0308,0.023,0.0214,0.0427,,,,,,,,,54.0,3,Fondo de Fondos,234
Fondo de Fondos,FONDO D FONDOS DEUDA LATAM,CREDIFONDO SAF,08/07/2012,$,137.78,0.0901,0.0594,-0.0928,-0.0013,0.0227,0.1331,-0.0434,0.0983,0.1288,-0.0638,0.0277,116122758.5,649.0,12,Fondo de Fondos,235
Fondo de Fondos,Fondo de F. Cred. Cons. Global,CREDIFONDO SAF,14/12/2017,$,167.7,0.0796,0.144,-0.1717,0.1929,0.1119,0.2572,-0.0309,0.0072,,,,139692599.43,1054.0,7,Fondo de Fondos,236
Fondo de Fondos,Independiente Agresivo $,INDEPENDIENTE SAF,12/07/2021,$,118.09,0.1553,0.1511,-0.128,0.0183,,,,,,,,46011998.31,3274.0,3,Fondo de Fondos,237
Fondo de Fondos,PHI DEUDA INTERNACIONAL,PRUDENTIALSAF SAF,22/05/2023,$,0.0,,,,,,,,,,,,3226233.92,50.0,1,Fondo de Fondos,238
Fondo de Fondos,-PHI DEUDA INTERNACIONAL SERIE A,PRUDENTIALSAF SAF,22/05/2023,$,10.16,0.0023,0.0132,,,,,,,,,,,43.0,1,Fondo de Fondos,239
Fondo de Fondos,-PHI DEUDA INTERNACIONAL SERIE B,PRUDENTIALSAF SAF,22/05/2023,$,10.28,0.0092,0.0189,,,,,,,,,,,7.0,1,Fondo de Fondos,240
Fondo de Fondos,PHI RV ESTRATEGIA GLOBAL,PRUDENTIALSAF SAF,26/06/2023,$,0.0,,,,,,,,,,,,18260095.11,151.0,1,Fondo de Fondos,241
Fondo de Fondos,-PHI RV ESTRATEGIA GLOBAL SERIE A,PRUDENTIALSAF SAF,26/06/2023,$,12.37,0.143,0.0797,,,,,,,,,,,145.0,1,Fondo de Fondos,242
Fondo de Fondos,-PHI RV ESTRATEGIA GLOBAL SERIE B,PRUDENTIALSAF SAF,26/06/2023,$,12.57,0.1532,0.0877,,,,,,,,,,,6.0,1,Fondo de Fondos,243
Fondo de Fondos,SCOTIA FF INSTITU RF GLOBAL,SCOTIA FONDOS,26/07/2023,$,1102.03,0.0436,0.0473,,,,,,,,,,114232417.75,34.0,1,Fondo de Fondos,244
Fondo de Fondos,Scotia Fondo de F. Acc. Europa,SCOTIA FONDOS,20/03/2018,$,11.36,0.0493,0.2338,-0.2674,0.0829,0.0873,0.2057,-0.1684,,,,,25827274.93,190.0,6,Fondo de Fondos,245
Fondo de Fondos,SCOTIA FONDO DE F. ACC. US,SCOTIA FONDOS,19/06/2014,$,25.19,0.2,0.3052,-0.2852,0.2695,0.1265,0.1987,-0.0475,0.2565,0.0328,0.0277,0.0228,117138472.15,621.0,10,Fondo de Fondos,246
Fondo de Fondos,SCOTIA FONDO DE F. DEUDA HY,SCOTIA FONDOS,28/03/2018,$,11.24,0.0447,0.0999,-0.1286,0.0172,0.0091,0.096,-0.0173,,,,,43960305.55,159.0,6,Fondo de Fondos,247
Fondo de Fondos,Scotia Fondo de F. Deuda IG,SCOTIA FONDOS,05/04/2018,$,10.3,0.0356,0.0572,-0.1308,-0.037,0.0298,0.075,0.0005,,,,,82734148.37,235.0,6,Fondo de Fondos,248
Fondo de Fondos,SFdF Acciones Emergentes,SCOTIA FONDOS,19/08/2014,$,4.32,0.0543,0.0629,-0.3307,-0.0097,-0.1362,0.0579,-0.1933,0.2462,0.2347,-0.3708,-0.1775,19416164.83,209.0,10,Fondo de Fondos,249
Fondo de Fondos,SFdF Distributivo HY II,SCOTIA FONDOS,12/09/2020,$,819.07,0.0222,0.0343,-0.187,-0.0538,0.0104,,,,,,,76816086.42,190.0,4,Fondo de Fondos,250
Fondo de Fondos,SFdF DISTRIBUTIVO IG,SCOTIA FONDOS,03/11/2020,$,939.68,-0.0014,0.0315,-0.1167,-0.0233,0.0585,,,,,,,180810325.41,299.0,4,Fondo de Fondos,251
Fondo de Fondos,SFdF Igualdad de Genero,SCOTIA FONDOS,17/09/2021,$,10.91,0.1736,0.143,-0.2236,0.0489,,,,,,,,5499805.88,58.0,3,Fondo de Fondos,252
Fondo de Fondos,SURA ACC. NORTEAMERICANAS,FONDOS SURA SAF,21/02/2014,$,27.66,0.1976,0.2341,-0.1909,0.1929,0.1781,0.2678,-0.0723,0.1765,0.0867,-0.0039,0.0867,98985453.57,818.0,10,Fondo de Fondos,253
Fondo de Fondos,SURA ACCIONES GLOBALES,FONDOS SURA SAF,24/07/2018,$,15.38,0.1391,0.1976,-0.2098,0.1377,0.129,0.2325,-0.107,,,,,37674174.86,416.0,6,Fondo de Fondos,254
Fondo de Fondos,SURA BONOS GLOBALES,FONDOS SURA SAF,26/09/2017,$,0.0,,,,,,,,,,,,67149875.24,328.0,7,Fondo de Fondos,255
Fondo de Fondos,-SURA BONOS GLOBALES SERIE A,FONDOS SURA SAF,26/09/2017,$,106.29,0.0341,0.0583,-0.0782,-0.0117,0.037,0.0816,-0.0617,,,,,,264.0,7,Fondo de Fondos,256
Fondo de Fondos,-SURA BONOS GLOBALES SERIE B,FONDOS SURA SAF,26/09/2017,$,86.17,0.0094,0.0189,-0.1094,-0.0433,0.002,0.0713,-0.0733,,,,,,69.0,7,Fondo de Fondos,257
Fondo de Fondos,SURA CAPITAL ESTRATEGICO I,FONDOS SURA SAF,10/02/2013,S/.,0.0,,,,,,,,,,,,10790784.09,304.0,11,Fondo de Fondos,258
Fondo de Fondos,-SURA CAPITAL ESTRATEGICO I SERIE A,FONDOS SURA SAF,10/02/2013,S/.,140.91,0.0516,0.0406,-0.1345,0.0105,0.1127,0.0632,0.014,0.0707,0.0074,0.0823,0.0321,,185.0,11,Fondo de Fondos,259
Fondo de Fondos,-SURA CAPITAL ESTRATEGICO I SERIE B,FONDOS SURA SAF,10/02/2013,S/.,144.72,0.0537,0.0431,-0.1325,0.0129,0.1153,0.0657,0.0164,0.0733,0.0098,0.0849,0.0346,,121.0,11,Fondo de Fondos,260
Fondo de Fondos,SURA CAPITAL ESTRATEGICO II,FONDOS SURA SAF,10/02/2013,S/.,0.0,,,,,,,,,,,,19106402.08,451.0,11,Fondo de Fondos,261
Fondo de Fondos,-SURA CAPITAL ESTRATEGICO II SERIE A,FONDOS SURA SAF,10/02/2013,S/.,143.1,0.0717,0.0558,-0.1228,0.0156,0.1253,0.0798,-0.025,0.1022,-0.001,0.0572,0.0069,,247.0,11,Fondo de Fondos,262
Fondo de Fondos,-SURA CAPITAL ESTRATEGICO II SERIE B,FONDOS SURA SAF,10/02/2013,S/.,146.57,0.0739,0.0583,-0.1207,0.018,0.1279,0.0824,-0.0227,0.1048,-0.0014,0.0597,0.0092,,211.0,11,Fondo de Fondos,263
Fondo de Fondos,SURA DEUDA PRIV. GLOBAL,FONDOS SURA SAF,30/06/2022,$,10089.71,0.0067,0.0,0.0023,,,,,,,,,102872989.15,285.0,2,Fondo de Fondos,264
Fondo de Fondos,Sura Real Estate Global Income,FONDOS SURA SAF,07/05/2018,$,11149.65,-0.0742,-0.1216,0.0551,0.1873,0.0479,0.0366,0.005,,,,,729304265.74,1789.0,6,Fondo de Fondos,265
